,customer,recency,frequency,monetary
835,cust2857,92,9,132411
836,cust3165,294,2,30184
837,cust4154,217,1,40393
838,cust466,57,10,137712
839,cust1133,16,10,405981
840,cust2296,78,4,550349
841,cust441,98,28,733254
842,cust833,56,6,67418
843,cust2039,59,9,231626
844,cust1575,37,6,89892
845,cust5336,144,2,61206
846,cust821,11,10,181029
847,cust2468,81,11,284009
848,cust3300,92,2,61919
849,cust347,80,7,45595
850,cust608,70,14,581127
851,cust5367,74,1,3806
852,cust1035,38,16,775473
853,cust3018,86,3,180890
854,cust5390,228,1,46908
855,cust3107,56,7,643298
856,cust372,157,3,131408
857,cust988,101,2,33239
858,cust2743,31,7,63753
859,cust4625,122,5,249589
860,cust1653,105,1,181033
861,cust569,18,28,621378
862,cust109,37,11,249483
863,cust2165,15,29,162352
864,cust901,86,3,393875
865,cust2550,65,2,131619
866,cust2538,133,2,111492
867,cust641,16,13,191543
868,cust1208,179,3,310399
869,cust128,85,9,203923
870,cust959,53,18,3902561
871,cust1271,46,13,228663
872,cust4916,241,3,115442
873,cust2001,87,6,272299
874,cust2946,52,10,151889
875,cust1347,35,8,255578
876,cust3349,147,1,948130
877,cust3671,21,4,144359
878,cust445,49,3,15890
879,cust1406,94,7,292320
880,cust5474,143,2,87071
881,cust3338,70,5,194456
882,cust1209,36,6,98535
883,cust371,123,2,22314
884,cust3002,170,2,133653
885,cust271,86,8,257579
886,cust4630,106,3,56163
887,cust2784,65,8,80178
888,cust2634,65,11,1964473
889,cust1141,109,4,265816
890,cust3073,226,1,29893
891,cust1204,163,2,12818
892,cust2626,36,10,93558
893,cust2051,123,3,411584
894,cust5533,214,1,16700
895,cust1303,79,4,23557
896,cust487,18,38,382970
897,cust3637,171,1,2112
898,cust1638,11,4,66312
899,cust946,35,12,279237
900,cust1024,81,4,65842
901,cust1231,23,12,65986
902,cust2939,85,10,252915
903,cust411,53,8,336202
904,cust2233,70,3,17477
905,cust254,37,61,1356710
906,cust4549,16,13,92004
907,cust5582,102,2,63126
908,cust1981,35,5,196503
909,cust702,70,11,600756
910,cust926,115,5,258119
911,cust3974,93,4,676526
912,cust762,225,1,103933
913,cust284,46,8,213351
914,cust2480,142,3,31655
915,cust1775,24,12,123768
916,cust2936,137,4,58814
917,cust586,38,24,516574
918,cust2972,141,2,13541
919,cust1508,35,14,621009
920,cust394,161,1,98343
921,cust1900,28,3,36657
922,cust3589,119,1,34764
923,cust2835,98,1,3788
924,cust1584,37,4,76213
925,cust897,42,34,233943
926,cust176,36,8,571715
927,cust949,11,15,117714
928,cust529,24,8,60240
929,cust1370,147,15,1167692
930,cust2879,37,14,340553
931,cust1422,10,10,513821
932,cust240,79,10,308873
933,cust3581,66,5,114675
934,cust44,24,7,178835
935,cust3766,32,4,45511
936,cust2369,74,6,198238
937,cust829,15,42,522379
938,cust437,23,10,139025
939,cust698,14,38,1499809
940,cust1281,60,12,397202
941,cust1149,123,4,798720
942,cust5091,191,2,77595
943,cust418,45,25,918634
944,cust1146,38,14,385455
945,cust1134,44,4,68303
946,cust2191,64,3,23058
947,cust5737,294,1,33255
948,cust3819,43,13,936725
949,cust5748,120,1,93390
950,cust5590,256,1,3644
951,cust973,179,2,26290
952,cust405,227,8,280692
953,cust3092,85,5,244714
954,cust2867,44,7,232958
955,cust274,10,67,1012962
956,cust2532,65,9,130564
957,cust1330,67,13,1009493
958,cust94,161,2,7737
959,cust1363,57,5,141273
960,cust3829,73,4,16433
961,cust2564,36,4,80732
962,cust498,17,35,783675
963,cust1686,98,4,221499
964,cust3040,67,9,195010
965,cust1940,64,8,622411
966,cust4529,151,1,-947
967,cust1553,88,5,99996
968,cust1249,72,8,24958
969,cust104,101,19,557617
970,cust4050,120,4,65429
971,cust484,57,27,380188
972,cust659,218,6,976251
973,cust1225,16,25,475974
974,cust3103,92,7,1589017
975,cust2877,172,4,212568
976,cust990,53,9,233732
977,cust4462,158,1,63493
978,cust368,22,42,687800
979,cust1801,100,28,689750
980,cust137,72,9,370242
981,cust56,64,5,140660
982,cust5785,185,1,69975
983,cust2585,245,2,139863
984,cust4565,99,2,69401
985,cust1176,122,2,35057
986,cust5380,52,3,24838
987,cust3229,141,1,49395
988,cust1401,28,6,48568
989,cust1004,84,9,2371951
990,cust5889,407,1,-11175
991,cust1122,64,18,145250
992,cust1630,109,8,176695
993,cust1773,164,3,81601
